Day,Time,Event,len(Queue)
1,11:04,Student 7 arrives Art Fair,NA
1,11:04,Student 54 arrives Art Fair,NA
1,11:05,Student 1 arrives Art Fair,NA
1,11:05,Student 43 arrives Art Fair,NA
1,11:06,Student 1 arrives at booth 2,1
1,11:06,Student 7 arrives at booth 3,1
1,11:06,Student 43 arrives at booth 1,1
1,11:06,Student 91 arrives Art Fair,NA
1,11:07,Student 29 arrives Art Fair,NA
1,11:07,Student 54 arrives at booth 6,1
1,11:07,Student 43 departs at booth 1,0
1,11:08,Student 91 arrives at booth 4,1
1,11:10,Student 9 arrives Art Fair,NA
1,11:11,Student 9 arrives at booth 1,1
1,11:11,Student 29 arrives at booth 7,1
1,11:11,Student 91 departs at booth 4,0
1,11:12,Student 43 arrives at booth 11,1
1,11:12,Student 88 arrives Art Fair,NA
1,11:12,Student 91 arrives at booth 5,1
1,11:12,Student 9 departs at booth 1,0
1,11:13,Student 7 departs at booth 3,0
1,11:13,Student 7 arrives at booth 4,1
1,11:14,Student 9 arrives at booth 6,1
1,11:14,Student 56 arrives Art Fair,NA
1,11:14,Student 43 departs at booth 11,0
1,11:15,Student 43 arrives at booth 14,1
1,11:15,Student 66 arrives Art Fair,NA
1,11:16,Student 56 arrives at booth 3,1
1,11:16,Student 1 departs at booth 2,0
1,11:16,Student 7 departs at booth 4,0
1,11:16,Student 54 departs at booth 6,1
1,11:17,Student 1 arrives at booth 3,1
1,11:17,Student 29 departs at booth 7,0
1,11:17,Student 43 departs at booth 14,0
1,11:18,Student 43 arrives at booth 15,1
1,11:19,Student 7 arrives at booth 10,1
1,11:19,Student 54 arrives at booth 12,1
1,11:19,Student 66 arrives at booth 7,1
1,11:19,Student 88 arrives at booth 13,1
1,11:19,Student 91 departs at booth 5,0
1,11:20,Student 29 arrives at booth 13,1
1,11:20,Student 91 arrives at booth 7,1
1,11:20,Student 54 departs at booth 12,0
1,11:20,Student 88 departs at booth 13,1
1,11:20,Student 88 arrives at booth 14,1
1,11:21,Student 54 arrives at booth 13,1
1,11:21,Student 7 departs at booth 10,0
1,11:21,Student 29 departs at booth 13,1
1,11:22,Student 7 arrives at booth 11,1
1,11:22,Student 54 departs at booth 13,0
1,11:22,Student 88 departs at booth 14,0
1,11:23,Student 29 arrives at booth 18,1
1,11:23,Student 54 arrives at booth 16,1
1,11:23,Student 56 departs at booth 3,1
1,11:24,Student 39 arrives Art Fair,NA
1,11:24,Student 44 arrives Art Fair,NA
1,11:24,Student 7 departs at booth 11,0
1,11:24,Student 43 departs at booth 15,0
1,11:24,Student 7 arrives at booth 12,1
1,11:25,Student 44 arrives at booth 2,1
1,11:25,Student 88 arrives at booth 20,1
1,11:25,Student 9 departs at booth 6,0
1,11:25,Student 66 departs at booth 7,1
1,11:25,Student 7 departs at booth 12,0
1,11:25,Student 54 departs at booth 16,0
1,11:25,Student 66 arrives at booth 8,1
1,11:26,Student 56 arrives at booth 9,1
1,11:27,Student 9 arrives at booth 10,1
1,11:27,Student 39 arrives at booth 6,1
1,11:27,Student 43 departs Art Fair,NA
1,11:27,Student 54 arrives at booth 20,1
1,11:27,Student 88 departs at booth 20,1
1,11:28,Student 88 departs Art Fair,NA
1,11:28,Student 66 departs at booth 8,0
1,11:29,Student 64 arrives Art Fair,NA
1,11:29,Student 9 departs at booth 10,0
1,11:29,Student 54 departs at booth 20,0
1,11:30,Student 7 departs Art Fair,NA
1,11:30,Student 54 departs Art Fair,NA
1,11:30,Student 1 departs at booth 3,0
1,11:31,Student 9 arrives at booth 13,1
1,11:31,Student 15 arrives Art Fair,NA
1,11:31,Student 91 departs at booth 7,0
1,11:32,Student 15 arrives at booth 1,1
1,11:32,Student 27 arrives Art Fair,NA
1,11:32,Student 64 arrives at booth 5,1
1,11:32,Student 91 arrives at booth 10,1
1,11:32,Student 9 departs at booth 13,0
1,11:33,Student 66 arrives at booth 17,1
1,11:33,Student 15 departs at booth 1,0
1,11:33,Student 56 departs at booth 9,0
1,11:33,Student 29 departs at booth 18,0
1,11:34,Student 9 arrives at booth 17,1
1,11:34,Student 15 arrives at booth 3,1
1,11:34,Student 27 arrives at booth 3,2
1,11:34,Student 56 arrives at booth 11,1
1,11:34,Student 91 departs at booth 10,0
1,11:35,Student 1 arrives at booth 13,1
1,11:35,Student 29 departs Art Fair,NA
1,11:35,Student 91 arrives at booth 11,1
1,11:35,Student 44 departs at booth 2,0
1,11:35,Student 66 departs at booth 17,1
1,11:36,Student 39 departs at booth 6,0
1,11:36,Student 56 departs at booth 11,1
1,11:36,Student 1 departs at booth 13,0
1,11:37,Student 39 arrives at booth 8,1
1,11:37,Student 44 arrives at booth 5,1
1,11:37,Student 56 arrives at booth 14,1
1,11:37,Student 66 departs Art Fair,NA
1,11:37,Student 9 departs at booth 17,0
1,11:38,Student 9 arrives at booth 19,1
1,11:38,Student 93 arrives Art Fair,NA
1,11:38,Student 91 departs at booth 11,0
1,11:38,Student 91 arrives at booth 12,1
1,11:39,Student 93 arrives at booth 1,1
1,11:39,Student 64 departs at booth 5,1
1,11:39,Student 91 departs at booth 12,0
1,11:39,Student 56 departs at booth 14,0
1,11:40,Student 1 departs Art Fair,NA
1,11:40,Student 93 departs at booth 1,0
1,11:40,Student 39 departs at booth 8,0
1,11:40,Student 9 departs at booth 19,0
1,11:40,Student 93 arrives at booth 2,1
1,11:41,Student 9 departs Art Fair,NA
1,11:41,Student 56 arrives at booth 18,1
1,11:41,Student 64 arrives at booth 9,1
1,11:41,Student 15 departs at booth 3,1
1,11:42,Student 15 arrives at booth 5,1
1,11:44,Student 39 arrives at booth 16,1
1,11:44,Student 91 departs Art Fair,NA
1,11:45,Student 98 arrives Art Fair,NA
1,11:46,Student 44 departs at booth 5,1
1,11:46,Student 39 departs at booth 16,0
1,11:46,Student 44 arrives at booth 6,1
1,11:47,Student 39 arrives at booth 17,1
1,11:48,Student 37 arrives Art Fair,NA
1,11:48,Student 98 arrives at booth 6,1
1,11:48,Student 27 departs at booth 3,0
1,11:48,Student 64 departs at booth 9,0
1,11:48,Student 27 arrives at booth 4,1
1,11:49,Student 90 arrives Art Fair,NA
1,11:49,Student 39 departs at booth 17,0
1,11:50,Student 37 arrives at booth 3,1
