Day,Time,Event,len(Queue)
1,11:06,Student 72 arrives Art Fair,NA
1,11:09,Student 72 arrives at booth 6,1
1,11:10,Student 56 arrives Art Fair,NA
1,11:10,Student 77 arrives Art Fair,NA
1,11:10,Student 72 departs at booth 6,0
1,11:11,Student 72 arrives at booth 7,1
1,11:13,Student 77 arrives at booth 5,1
1,11:13,Student 72 departs at booth 7,0
1,11:14,Student 56 arrives at booth 8,1
1,11:15,Student 13 arrives Art Fair,NA
1,11:16,Student 13 arrives at booth 1,1
1,11:16,Student 72 arrives at booth 14,1
1,11:18,Student 33 arrives Art Fair,NA
1,11:18,Student 56 departs at booth 8,0
1,11:19,Student 76 arrives Art Fair,NA
1,11:19,Student 96 arrives Art Fair,NA
1,11:19,Student 13 departs at booth 1,0
1,11:20,Student 13 arrives at booth 3,1
1,11:20,Student 76 arrives at booth 1,1
1,11:20,Student 96 arrives at booth 2,1
1,11:21,Student 56 arrives at booth 13,1
1,11:21,Student 72 departs at booth 14,0
1,11:22,Student 52 arrives Art Fair,NA
1,11:23,Student 33 arrives at booth 10,1
1,11:23,Student 52 arrives at booth 1,1
1,11:23,Student 76 departs at booth 1,1
1,11:23,Student 96 departs at booth 2,0
1,11:23,Student 77 departs at booth 5,0
1,11:25,Student 15 arrives Art Fair,NA
1,11:25,Student 72 departs Art Fair,NA
1,11:26,Student 37 arrives Art Fair,NA
1,11:26,Student 77 arrives at booth 11,1
1,11:26,Student 52 departs at booth 1,0
1,11:27,Student 15 arrives at booth 4,1
1,11:28,Student 73 arrives Art Fair,NA
1,11:28,Student 96 arrives at booth 12,1
1,11:29,Student 38 arrives Art Fair,NA
1,11:29,Student 52 arrives at booth 7,1
1,11:29,Student 77 departs at booth 11,0
1,11:29,Student 56 departs at booth 13,0
1,11:30,Student 37 arrives at booth 7,1
1,11:30,Student 56 arrives at booth 16,1
1,11:30,Student 76 arrives at booth 15,1
1,11:30,Student 13 departs at booth 3,0
1,11:31,Student 38 arrives at booth 4,1
