student_id,arrival_time_day_1,arrival_time_day_2,preference_day_1,preference_day_2
1,12:11,16:27,"[3, 6, 8, 10, 15, 19]","[1, 6, 9, 12, 17]"
2,11:49,14:20,"[1, 4, 6]","[1, 11, 16, 17, 19]"
3,11:14,17:38,"[3, 6, 7, 11]","[1, 15, 18, 19, 20]"
4,11:31,13:28,"[10, 11, 12, 13]","[1, 8, 10, 14, 15, 20]"
5,15:38,15:23,"[1, 6, 7, 9, 19, 20]","[1, 7, 19]"
6,16:43,14:25,"[4, 5, 8, 12]","[7, 10, 12, 15, 16, 19]"
7,11:48,14:39,"[5, 6, 11]","[11, 13, 16, 18]"
8,14:30,11:47,"[1, 12, 17, 18]","[1, 3, 4, 8, 15]"
9,13:13,17:07,"[4, 5, 9, 11, 14, 17]","[4, 9, 13]"
10,17:28,12:52,"[2, 11, 12, 13, 16, 19]","[3, 8, 9, 13, 15, 19]"
11,12:55,17:24,"[2, 6, 18]","[11, 13, 14]"
12,14:34,15:13,"[5, 12, 16]","[1, 2, 6, 10]"
13,13:40,12:50,"[3, 10, 20]","[2, 6, 8, 10, 20]"
14,16:23,14:09,"[4, 9, 10, 13, 16, 17]","[9, 10, 12, 17]"
15,15:43,16:44,"[6, 9, 14, 16, 17]","[5, 11, 14, 15, 17]"
16,11:18,13:38,"[1, 5, 8, 12, 14, 20]","[5, 6, 12, 13, 14]"
17,11:36,14:37,"[14, 18, 19]","[4, 11, 12, 17, 18, 20]"
18,17:22,16:49,"[2, 6, 8, 9, 17]","[1, 7, 8, 9, 13, 14]"
19,15:26,14:41,"[1, 5, 11, 12, 14, 17]","[9, 19, 20]"
20,14:50,14:00,"[4, 6, 8, 17]","[4, 12, 15, 18, 19]"
21,12:32,11:32,"[2, 6, 12, 13]","[2, 9, 10, 15, 17, 19]"
22,12:40,15:43,"[4, 6, 9, 11, 13]","[8, 11, 17, 18, 20]"
23,16:22,15:56,"[7, 8, 10, 16]","[1, 11, 12, 15, 19]"
24,12:50,14:38,"[3, 4, 6, 8, 17, 19]","[7, 16, 20]"
25,16:31,13:23,"[2, 5, 7, 20]","[6, 9, 17]"
26,17:35,12:33,"[7, 12, 16, 17, 18]","[1, 10, 16, 18, 19]"
27,15:56,15:52,"[5, 10, 11]","[2, 5, 15]"
28,14:26,15:29,"[2, 7, 18, 19]","[3, 16, 20]"
29,15:11,17:00,"[7, 11, 13, 20]","[1, 7, 11, 12, 14, 16]"
30,17:24,16:25,"[1, 8, 20]","[2, 10, 13, 14]"
31,16:44,15:24,"[3, 9, 10, 16, 17]","[4, 6, 7, 13]"
32,11:13,16:50,"[4, 7, 9, 10, 11, 16]","[3, 4, 9, 14, 16, 17]"
33,13:13,13:51,"[1, 14, 20]","[2, 3, 11, 13]"
34,12:49,14:42,"[7, 12, 14]","[4, 8, 13, 15, 17, 18]"
35,14:29,16:02,"[3, 10, 17, 18, 19]","[6, 12, 14, 15]"
36,16:49,12:08,"[1, 4, 12, 15]","[1, 3, 11, 17, 18, 20]"
37,13:16,15:23,"[5, 17, 18, 20]","[2, 11, 12, 15, 18]"
38,12:12,12:23,"[6, 9, 17]","[3, 13, 16]"
39,14:30,14:46,"[9, 11, 12, 17, 18]","[3, 4, 10, 19, 20]"
40,16:51,11:09,"[3, 13, 15, 18]","[6, 19, 20]"
41,13:22,16:18,"[1, 2, 12, 13, 16]","[8, 14, 18]"
42,13:16,11:35,"[6, 13, 15, 18]","[5, 9, 20]"
43,17:33,17:35,"[12, 13, 16]","[7, 9, 11, 18]"
44,13:37,15:07,"[4, 6, 16, 17]","[1, 8, 15, 16, 18, 19]"
45,12:18,15:17,"[3, 5, 8, 10, 12]","[4, 5, 12]"
46,11:43,13:07,"[5, 9, 18]","[3, 7, 9, 10, 16, 17]"
47,13:34,11:37,"[4, 9, 17]","[5, 8, 11, 14, 17, 18]"
48,13:32,16:43,"[1, 2, 3, 9, 10, 18]","[4, 8, 13]"
49,11:39,13:56,"[8, 10, 13]","[1, 2, 3, 14, 15]"
50,11:54,11:39,"[1, 9, 12, 14, 17, 20]","[1, 9, 12, 17]"
51,17:13,16:48,"[2, 4, 10, 20]","[3, 7, 13, 15]"
52,11:03,16:08,"[9, 10, 16]","[1, 6, 9, 11, 17, 20]"
53,14:13,16:31,"[10, 14, 15]","[1, 5, 6, 10, 17, 19]"
54,13:03,14:43,"[2, 4, 6, 7, 14, 15]","[5, 7, 8]"
55,16:10,14:33,"[4, 7, 8, 9, 13, 14]","[3, 6, 7, 11]"
56,11:50,14:56,"[10, 16, 17]","[1, 8, 10, 11, 12]"
57,15:34,11:53,"[1, 3, 6, 16, 18]","[1, 3, 6, 10]"
58,16:15,15:26,"[12, 15, 17]","[8, 9, 15, 17, 18, 20]"
59,12:19,12:26,"[3, 6, 8, 11, 14, 19]","[3, 15, 18]"
60,14:55,14:09,"[2, 11, 17]","[2, 7, 10, 11, 13, 19]"
61,11:12,15:22,"[1, 3, 5, 16, 17, 18]","[6, 13, 17, 20]"
62,14:03,13:01,"[5, 7, 11, 14, 17, 18]","[1, 5, 12, 13, 19, 20]"
63,11:12,15:01,"[2, 7, 8, 12, 17]","[2, 8, 13, 18]"
64,12:57,14:02,"[7, 8, 9, 16, 19]","[3, 8, 11, 14, 18]"
65,14:41,14:26,"[1, 4, 10, 11, 16, 19]","[1, 6, 15]"
66,13:12,16:13,"[10, 15, 17, 19]","[4, 8, 12, 14, 17]"
67,16:47,12:07,"[5, 7, 10, 11, 12, 18]","[5, 7, 8]"
68,11:51,12:53,"[3, 8, 10, 17]","[2, 3, 5, 9, 10, 18]"
